moradia_classe;moradia_zoneamento;rua_tipo;lote_formato;terreno_contorno;utilidades;lote_config;terreno_declive;vizinhanca;condicao_1;condicao_2;geral_qualidade;geral_condicao;telhado_estilo;telhado_material;exterior_cobertura_1;alvenaria_tipo;exterior_qualidade;exterior_condicao;fundacao_tipo;porao_num_banheiros_lavabos;aquecimento_tipo;aquecimento_qualidade_condicao;ar_condicionado_central;sistema_eletrico_tipo;acima_solo_num_cozinhas;cozinha_qualidade;funcional;entrada_veiculo_pavimentada;venda_tipo;lote_area;construcao_ano;remodelacao_ano;alvenaria_area;porao_area_com_acabamento_1;porao_area_com_acabamento_2;porao_area_sem_acabamento;porao_num_banheiros;primeiro_andar_area;segundo_andar_area;acima_solo_num_banheiros;acima_solo_num_lavabos;acima_solo_num_quartos;acima_solo_num_comodos;total_num_lareiras;garagem_capacidade_carros;deck_madeira_area;varanda_aberta_area;varanda_fechada_area;venda_mes;venda_ano;venda_valor
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;NAmes;normal;normal;acima da média;média;quadril;telha padrão (composto);face de tijolo;pedra;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;regular;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;parcialmente pavimentada;WD;31770;1960;1960;112;639;0;441;1;1656;0;1;0;3;7;2;2;210;62;0;5;2010;215000
020;Outros;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;NAmes;adjacente a rua alimentadora;normal;média;acima da média;duas águas;telha padrão (composto);tapume de vinil;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;11622;1961;1961;0;468;144;270;0;896;0;1;0;2;5;0;1;140;0;0;6;2010;105000
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;NAmes;normal;normal;acima da média;acima da média;quadril;telha padrão (composto);tapume de madeira;face de tijolo;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;14267;1958;1958;108;923;0;406;0;1329;0;1;1;3;6;0;1;393;36;0;6;2010;172000
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;NAmes;normal;normal;boa;média;quadril;telha padrão (composto);face de tijolo;nenhum;boa;média;bloco de concreto;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;WD;11160;1968;1968;0;1065;0;1045;1;2110;0;2;1;3;8;2;2;0;0;0;4;2010;244000
060;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Gilbert;normal;normal;média;média;duas águas;telha padrão (composto);tapume de vinil;nenhum;m\u00e9dia;média;concreto derrramado;0;forno de ar quente a gás;boa;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;13830;1997;1998;0;791;0;137;0;928;701;2;1;3;6;1;2;212;34;0;3;2010;189900
060;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Gilbert;normal;normal;acima da média;acima da média;duas águas;telha padrão (composto);tapume de vinil;face de tijolo;m\u00e9dia;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;9978;1998;1998;20;602;0;324;0;926;678;2;1;3;7;1;2;360;36;0;6;2010;195500
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;muito boa;média;duas águas;telha padrão (composto);placa de cimento;nenhum;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;4920;2001;2001;0;616;0;722;1;1338;0;2;0;2;6;0;2;0;0;170;4;2010;213500
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;levemente irregular;encosta;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;muito boa;média;duas águas;telha padrão (composto);placa dura;nenhum;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;5005;1992;1992;0;263;0;1017;0;1280;0;2;0;2;5;0;2;0;82;0;1;2010;191500
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;muito boa;média;duas águas;telha padrão (composto);placa de cimento;nenhum;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;5389;1995;1996;0;1180;0;415;1;1616;0;2;0;2;5;1;2;237;152;0;3;2010;236500
060;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Gilbert;normal;normal;boa;média;duas águas;telha padrão (composto);tapume de vinil;nenhum;m\u00e9dia;média;concreto derrramado;0;forno de ar quente a gás;boa;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;7500;1999;1999;0;0;0;994;0;1028;776;2;1;3;7;1;2;140;60;0;6;2010;189000
060;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;Gilbert;normal;normal;acima da média;média;duas águas;telha padrão (composto);placa dura;nenhum;m\u00e9dia;média;concreto derrramado;0;forno de ar quente a gás;boa;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;10000;1993;1994;0;0;0;763;0;763;892;2;1;3;7;1;2;157;84;0;4;2010;175900
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Gilbert;normal;normal;acima da média;boa;duas águas;telha padrão (composto);placa dura;nenhum;m\u00e9dia;boa;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;7980;1992;2007;0;935;0;233;1;1187;0;2;0;3;6;0;2;483;21;0;3;2010;185000
060;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Gilbert;normal;normal;acima da média;média;duas águas;telha padrão (composto);tapume de vinil;nenhum;m\u00e9dia;média;concreto derrramado;0;forno de ar quente a gás;boa;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;8402;1998;1998;0;0;0;789;0;789;676;2;1;3;7;1;2;0;75;0;5;2010;180400
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Gilbert;normal;normal;boa;média;duas águas;telha padrão (composto);placa dura;nenhum;m\u00e9dia;média;concreto derrramado;0;forno de ar quente a gás;boa;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;10176;1990;1990;0;637;0;663;1;1341;0;1;1;2;5;1;2;192;0;0;2;2010;171500
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;Outros;normal;normal;muito boa;média;duas águas;telha padrão (composto);placa dura;nenhum;boa;média;concreto derrramado;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;6820;1985;1985;0;368;1120;0;1;1502;0;1;1;1;4;0;2;0;54;0;6;2010;212000
060;Residencial baixa densidade;pavimentada;Outros;encosta;todas as utilidades p\u00fablicas;rua sem saída;declive moderado;Outros;normal;normal;muito boa;média;quadril;telha padrão (composto);placa de cimento;face de tijolo;excelente;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;Outros;Y;WD;53504;2003;2003;603;1416;0;234;1;1690;1589;3;1;4;12;1;3;503;36;0;6;2010;538000
050;Residencial baixa densidade;pavimentada;levemente irregular;bancada;todas as utilidades p\u00fablicas;lote interno;declive moderado;Gilbert;normal;normal;muito boa;boa;duas águas;telha padrão (composto);tapume de madeira;nenhum;boa;média;Outros;0;forno de ar quente a gás;boa;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;12134;1988;2005;0;427;0;132;0;1080;672;2;0;4;8;0;2;325;12;0;6;2010;164000
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;Outros;normal;normal;excelente;Outros;quadril;telha padrão (composto);tapume de vinil;pedra;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;casa recém-construída e vendida;11394;2010;2010;350;1445;0;411;1;1856;0;1;1;1;8;1;3;113;0;0;6;2010;394432
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;Gilbert;normal;normal;abaixo da média;média;duas águas;telha padrão (composto);tapume de vinil;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;19138;1951;1951;0;120;0;744;0;864;0;1;0;2;4;0;2;0;0;0;6;2010;141000
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northwest Ames;normal;normal;acima da média;acima da média;duas águas;telha padrão (composto);madeirra compensada;pedra;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;média;Outros;Y;WD;13175;1978;1988;119;790;163;589;1;2073;0;2;0;3;7;2;2;349;0;0;2;2010;210000
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northwest Ames;normal;normal;acima da média;acima da média;quadril;telha padrão (composto);madeirra compensada;face de tijolo;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;Outros;11751;1977;1977;480;705;0;1139;0;1844;0;2;0;3;7;1;2;0;122;0;1;2010;190000
